City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Jamestown,42.097,-79.2353,37.54,50,100,5.75,US,light rain
80,Athabasca,54.7169,-113.2854,19.81,96,97,5.55,CA,overcast clouds
81,Yulara,-25.2406,130.9889,102.09,15,11,6.51,AU,few clouds
82,Souillac,-20.5167,57.5167,84.58,61,40,14.97,MU,scattered clouds
83,Beira,-19.8436,34.8389,87.89,62,40,13.8,MZ,moderate rain
84,Matagami,49.7502,-77.6328,15.91,73,100,6.91,CA,overcast clouds
85,Aksu,41.1231,80.2644,14.16,69,6,3.94,CN,clear sky
86,Lata,40.1629,-8.3327,53.08,81,85,13.02,PT,overcast clouds
87,Cartagena,10.3997,-75.5144,78.42,83,20,11.5,CO,few clouds
88,Bredasdorp,-34.5322,20.0403,71.89,86,100,16.49,ZA,light rain
89,Bengkulu,-3.8004,102.2655,82.26,72,80,7.63,ID,light rain
90,Saint George,37.1041,-113.5841,44.44,70,20,9.22,US,few clouds
91,Pokosnoye,55.5258,101.0536,11.32,88,100,14.81,RU,overcast clouds
92,Avera,33.194,-82.5271,51.85,52,100,9.28,US,overcast clouds
93,Havoysund,70.9963,24.6622,34.03,90,100,15.97,NO,light snow
94,Nouakchott,18.0858,-15.9785,66.13,30,100,11.83,MR,overcast clouds
95,Atar,20.5169,-13.0499,66.58,18,100,6.91,MR,overcast clouds
96,Victoria,22.2855,114.1577,57.33,73,94,10.0,HK,overcast clouds
97,Bonavista,48.6499,-53.1147,37.13,100,100,16.58,CA,light rain
98,Mazagao,-0.115,-51.2894,73.45,99,64,3.47,BR,broken clouds
99,Berlevag,70.8578,29.0864,31.95,80,75,9.22,NO,broken clouds
100,Saint-Philippe,-21.3585,55.7679,87.39,72,14,13.35,RE,light rain
101,Vila,42.0304,-8.1588,36.48,93,100,15.12,PT,light rain
102,San Andres,12.5847,-81.7006,78.82,73,20,12.66,CO,light rain
103,Hobyo,5.3505,48.5268,81.66,57,11,21.9,SO,few clouds
104,Houston,29.7633,-95.3633,68.13,90,100,9.22,US,mist
105,Upernavik,72.7868,-56.1549,-5.15,96,100,5.32,GL,light snow
106,Thompson,55.7435,-97.8558,-11.9,100,72,2.86,CA,broken clouds
107,Coihaique,-45.5752,-72.0662,49.95,76,0,5.75,CL,clear sky
108,Bellmead,31.594,-97.1089,63.1,78,0,6.91,US,clear sky
109,Shintomi,32.0785,131.4723,54.72,68,72,3.89,JP,broken clouds
110,Guaymas,27.9333,-110.9,59.88,82,81,5.01,MX,broken clouds
111,Cholet,47.1667,-1.0,36.64,97,100,8.43,FR,overcast clouds
112,Kruisfontein,-34.0033,24.7314,79.41,68,85,13.51,ZA,overcast clouds
113,Khandyga,62.6667,135.6,-59.46,100,86,0.96,RU,overcast clouds
114,Alyangula,-13.8483,136.4192,83.55,74,100,7.72,AU,overcast clouds
115,Carnarvon,-24.8667,113.6333,79.66,58,0,23.42,AU,clear sky
116,Xam Nua,20.4197,104.0439,64.56,59,70,3.87,LA,broken clouds
117,Sorong,-0.8833,131.25,83.46,72,86,8.97,ID,overcast clouds
118,Mayumba,-3.432,10.6554,77.88,86,99,6.38,GA,overcast clouds
119,Pevek,69.7008,170.3133,-34.02,100,30,4.18,RU,scattered clouds
120,Sao Joao Da Barra,-21.6403,-41.0511,73.47,92,7,9.75,BR,clear sky
121,Riachao Das Neves,-11.7461,-44.91,65.97,95,46,0.72,BR,scattered clouds
122,Airai,-8.9266,125.4092,68.29,79,100,2.37,TL,overcast clouds
123,Traverse City,44.7631,-85.6206,39.4,94,100,4.61,US,overcast clouds
124,Inyonga,-6.7167,32.0667,72.21,79,99,4.56,TZ,light rain
125,Bodden Town,19.2833,-81.25,72.93,76,0,13.42,KY,clear sky
126,Guarapuava,-25.3953,-51.4581,61.88,99,100,2.06,BR,overcast clouds
127,Stettler,52.3168,-112.7186,20.95,93,100,3.44,CA,overcast clouds
128,Half Moon Bay,37.4636,-122.4286,49.87,85,0,9.22,US,clear sky
129,Sisimiut,66.9395,-53.6735,-2.02,84,100,11.68,GL,overcast clouds
130,Cidreira,-30.1811,-50.2056,73.54,85,2,9.01,BR,clear sky
131,Port Augusta,-32.5,137.7667,86.27,46,11,25.32,AU,few clouds
132,Mach,29.8637,67.3298,57.54,23,0,5.26,PK,clear sky
133,Bambous Virieux,-20.3428,57.7575,84.45,61,40,14.97,MU,scattered clouds
134,New Norfolk,-42.7826,147.0587,85.87,34,93,3.0,AU,overcast clouds
135,Koster,-25.863,26.8976,76.91,34,20,5.26,ZA,few clouds
136,Chifeng,42.2683,118.9636,17.44,42,0,10.65,CN,clear sky
137,Manokwari,-0.8667,134.0833,81.99,75,97,5.19,ID,overcast clouds
138,Beloha,-25.1667,45.05,90.84,37,0,7.61,MG,clear sky
139,Le Port,-20.9373,55.2919,87.8,50,44,3.13,RE,scattered clouds
140,Arraial Do Cabo,-22.9661,-42.0278,75.16,88,20,9.22,BR,few clouds
141,Tiarei,-17.5333,-149.3333,78.82,75,97,4.09,PF,light rain
142,Kaniama,-7.5667,24.1833,69.8,91,99,3.15,CD,light rain
143,Dingle,10.9995,122.6711,81.23,86,100,7.87,PH,overcast clouds
144,Rawson,-43.3002,-65.1023,61.48,76,67,8.66,AR,broken clouds
145,Gushikawa,26.3544,127.8686,62.19,65,100,12.66,JP,overcast clouds
146,Brownwood,31.7093,-98.9912,60.8,65,0,0.0,US,clear sky
147,Constitucion,-35.3333,-72.4167,52.41,90,86,2.44,CL,overcast clouds
148,Brae,60.3964,-1.353,39.54,81,99,20.31,GB,light rain
149,Scarborough,54.2797,-0.4044,27.66,87,3,4.0,GB,clear sky
150,Chiang Klang,19.2938,100.8617,86.92,34,0,4.76,TH,clear sky
151,Monroe,43.1501,-77.6831,34.54,85,40,1.99,US,scattered clouds
152,Nueva Concepcion,14.2,-91.3,70.16,88,6,4.41,GT,clear sky
153,Ribeira Grande,38.5167,-28.7,55.8,76,40,8.05,PT,scattered clouds
154,Wajir,1.7471,40.0573,84.16,45,0,9.22,KE,clear sky
155,Asau,46.4333,26.4,34.72,72,100,5.77,RO,overcast clouds
156,Tasiilaq,65.6145,-37.6368,17.76,60,100,10.18,GL,overcast clouds
157,Tautira,-17.7333,-149.15,79.72,73,68,4.38,PF,broken clouds
158,Dholka,22.7167,72.4667,73.78,16,0,8.93,IN,clear sky
159,Bourail,-21.5667,165.4833,76.17,78,98,8.99,NC,overcast clouds
160,Faanui,-16.4833,-151.75,81.36,64,87,12.21,PF,overcast clouds
161,Shemonaikha,50.6328,81.9056,9.72,92,100,7.07,KZ,overcast clouds
162,Lorengau,-2.0226,147.2712,78.67,84,100,2.89,PG,light rain
163,Morant Bay,17.8815,-76.4093,73.02,82,33,10.0,JM,scattered clouds
164,Port Lincoln,-34.7333,135.8667,69.26,86,100,15.03,AU,moderate rain
165,Hay River,60.8156,-115.7999,10.38,85,100,11.5,CA,light snow
166,Pisco,-13.7,-76.2167,69.85,83,0,3.44,PE,clear sky
167,Sitka,57.0531,-135.33,40.89,75,100,10.36,US,light rain
168,Turukhansk,65.8167,87.9833,-32.15,84,1,5.14,RU,clear sky
169,Carupano,10.6678,-63.2585,72.45,90,12,6.13,VE,few clouds
170,Lompoc,34.6391,-120.4579,47.79,93,75,6.91,US,broken clouds
171,Zabol,32.25,67.25,31.55,35,6,4.63,AF,clear sky
172,Elvas,38.8815,-7.1628,53.82,94,73,17.22,PT,broken clouds
173,Ponta Do Sol,32.6667,-17.1,61.43,69,47,7.74,PT,scattered clouds
174,Porbandar,21.6422,69.6093,76.05,20,2,10.31,IN,clear sky
175,Namibe,-15.1961,12.1522,77.72,66,98,2.26,AO,overcast clouds
176,Verin,41.9415,-7.4381,40.57,96,100,14.45,ES,overcast clouds
177,Chitrakonda,18.1167,82.0833,87.03,23,0,6.78,IN,clear sky
178,Saskylakh,71.9167,114.0833,-23.89,99,47,6.98,RU,scattered clouds
179,Colquechaca,-18.6667,-66.0167,32.32,76,99,3.15,BO,overcast clouds
180,Luderitz,-26.6481,15.1594,71.56,71,94,3.98,NA,overcast clouds
181,Rudnichnyy,59.617,52.4703,10.76,89,6,9.53,RU,clear sky
182,Susanville,40.4163,-120.653,30.04,86,0,5.75,US,clear sky
183,Butaritari,3.0707,172.7902,80.58,81,34,16.42,KI,scattered clouds
184,Leningradskiy,69.3833,178.4167,-24.03,95,99,5.46,RU,overcast clouds
185,Loa Janan,-0.583,117.095,86.25,67,99,2.21,ID,overcast clouds
186,Koboko,3.4136,30.9599,82.31,31,94,8.46,UG,overcast clouds
187,Jieshi,22.8134,115.8257,61.12,55,29,2.33,CN,scattered clouds
188,Paamiut,61.994,-49.6678,11.12,66,100,13.24,GL,overcast clouds
189,Castro,-24.7911,-50.0119,64.87,97,100,2.3,BR,light rain
190,Georgetown,5.4112,100.3354,91.33,60,20,10.36,MY,few clouds
191,Sangar,63.9242,127.4739,-43.13,95,100,1.74,RU,overcast clouds
192,Moron,-34.6534,-58.6198,80.96,56,6,8.68,AR,clear sky
193,Lavrentiya,65.5833,-171.0,-21.55,92,64,11.97,RU,broken clouds
194,Husavik,66.0449,-17.3389,27.75,90,100,21.43,IS,snow
195,Letterkenny,54.95,-7.7333,28.29,78,61,3.42,IE,snow
196,Esperance,-33.8667,121.9,63.16,52,28,14.54,AU,scattered clouds
197,Nesebar,42.7833,27.7333,50.36,73,100,23.89,BG,overcast clouds
198,Makinsk,52.6292,70.4169,16.74,74,17,7.54,KZ,few clouds
199,Taoudenni,22.6783,-3.9836,61.95,24,100,7.36,ML,overcast clouds
200,Ginda,30.6945,78.4932,55.15,21,0,6.73,IN,clear sky
201,Rongcheng,30.634,117.8517,43.7,25,7,4.36,CN,clear sky
202,Awjilah,29.1081,21.2869,58.55,50,0,9.84,LY,clear sky
203,Port Moresby,-9.4431,147.1797,85.42,66,20,11.5,PG,few clouds
204,Bamiantong,44.9333,130.5333,0.82,90,63,3.2,CN,broken clouds
205,Kaffrine,14.1059,-15.5508,72.16,15,100,8.23,SN,overcast clouds
206,Chapais,49.7834,-74.8492,-7.82,95,36,0.87,CA,scattered clouds
207,Yar-Sale,66.8333,70.8333,5.52,95,100,16.22,RU,overcast clouds
208,Nago,26.5881,127.9761,63.03,71,75,13.13,JP,broken clouds
209,Novoagansk,61.9449,76.6625,10.22,97,100,4.03,RU,overcast clouds
210,Toora-Khem,52.4675,96.11,11.01,88,100,3.49,RU,overcast clouds
211,Ludvika,60.1496,15.1878,34.34,91,100,10.45,SE,overcast clouds
212,Amapa,1.0,-52.0,68.58,100,86,1.92,BR,overcast clouds
213,Zilupe,56.3862,28.1217,32.31,95,100,11.07,LV,overcast clouds
214,Marawi,7.9986,124.2928,73.36,95,100,2.06,PH,light rain
215,Antalaha,-14.9003,50.2788,82.2,71,64,10.49,MG,light rain
216,Olga,43.7444,135.2892,11.73,70,96,3.02,RU,overcast clouds
217,Orsha,54.5153,30.4053,32.95,98,100,17.05,BY,light snow
218,Nemuro,43.3236,145.575,20.97,56,10,5.88,JP,clear sky
219,Nzega,-2.479,29.5564,64.29,68,99,5.55,RW,light rain
220,Butzbach,50.4339,8.6712,36.18,87,90,6.29,DE,overcast clouds
221,Sakakah,29.9697,40.2064,47.77,67,8,9.8,SA,clear sky
222,Waingapu,-9.6567,120.2641,85.37,71,47,8.7,ID,scattered clouds
