City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tallahassee,US,30.4383,-84.2807,64.85,96,100,3.44,overcast clouds
80,Hithadhoo,MV,-0.6,73.0833,80.89,66,3,4.97,clear sky
81,Klaksvik,FO,62.2266,-6.589,31.12,71,100,31.16,light snow
82,Arraial Do Cabo,BR,-22.9661,-42.0278,73.53,93,0,18.75,clear sky
83,Fukue,JP,32.6881,128.8419,44.96,49,75,12.66,broken clouds
84,Amursk,RU,50.2261,136.8994,-7.73,87,96,5.01,overcast clouds
85,Camargo,MX,27.6667,-105.1667,53.67,37,80,6.62,broken clouds
86,Yar-Sale,RU,66.8333,70.8333,8.53,96,100,6.13,overcast clouds
87,Aksu,CN,41.1231,80.2644,10.78,73,3,4.54,clear sky
88,Saldanha,ZA,-33.0117,17.9442,62.65,94,98,6.55,overcast clouds
89,Sioux Lookout,CA,50.1001,-91.917,6.87,92,75,5.75,broken clouds
90,Port Alfred,ZA,-33.5906,26.891,73.18,96,93,6.91,overcast clouds
91,Nikolskoye,RU,59.7035,30.7861,33.69,97,100,11.18,light snow
92,Sonepur,IN,20.8333,83.9167,79.9,49,5,2.33,clear sky
93,Banda Aceh,ID,5.5577,95.3222,82.15,64,100,13.33,overcast clouds
94,Punta Arenas,CL,-53.15,-70.9167,55.51,71,75,12.66,broken clouds
95,Kodiak,US,57.79,-152.4072,33.31,69,0,6.91,clear sky
96,Pevek,RU,69.7008,170.3133,-36.6,100,65,4.32,broken clouds
97,Veraval,IN,20.9,70.3667,72.81,26,0,8.7,clear sky
98,Toktogul,KG,41.8708,72.9402,16.36,58,0,1.9,clear sky
99,Busselton,AU,-33.65,115.3333,77.9,31,69,1.16,broken clouds
100,Cape Town,ZA,-33.9258,18.4232,72.37,73,75,21.85,light rain
101,Abu Zabad,SD,12.35,29.25,59.94,26,23,11.39,few clouds
102,Zyryanka,RU,65.75,150.85,-26.91,97,100,7.25,overcast clouds
103,Saint-Philippe,RE,-21.3585,55.7679,81.99,85,100,14.16,light rain
104,Miyako,JP,39.6367,141.9525,37.38,73,100,14.58,overcast clouds
105,Severo-Kurilsk,RU,50.6789,156.125,15.91,62,100,22.41,overcast clouds
106,San Patricio,US,28.017,-97.5169,71.83,76,98,15.97,overcast clouds
107,Great Bend,US,38.3645,-98.7648,35.73,93,100,13.8,overcast clouds
108,Bredasdorp,ZA,-34.5322,20.0403,71.38,92,100,3.83,overcast clouds
109,Hay River,CA,60.8156,-115.7999,17.58,86,75,4.61,broken clouds
110,Kaitangata,NZ,-46.2817,169.8464,62.38,71,4,10.49,clear sky
111,Carutapera,BR,-1.195,-46.02,73.38,94,97,5.12,overcast clouds
112,Mar Del Plata,AR,-38.0023,-57.5575,71.83,97,40,5.75,mist
113,Vologda,RU,59.2187,39.8886,28.49,93,100,15.43,snow
114,Adrar,MR,20.5022,-10.0711,61.72,18,100,8.05,overcast clouds
115,Romitan,UZ,39.9343,64.3814,13.95,73,38,0.0,mist
116,Nanortalik,GL,60.1432,-45.2371,25.32,88,100,7.07,overcast clouds
117,Slonim,BY,53.0867,25.3219,36.68,94,100,8.57,overcast clouds
118,Behbahan,IR,30.5959,50.2417,51.67,79,2,1.99,clear sky
119,Bandarbeyla,SO,9.4942,50.8122,76.42,69,48,15.21,scattered clouds
120,Senador Jose Porfirio,BR,-2.5908,-51.9542,71.65,97,100,2.35,moderate rain
121,Pisco,PE,-13.7,-76.2167,69.85,83,0,6.91,clear sky
122,Cabinda,AO,-5.55,12.2,77.72,87,100,3.0,light rain
123,Mehamn,NO,71.0357,27.8492,28.35,80,0,14.97,clear sky
124,Ambon,ID,-3.6954,128.1814,89.74,66,20,4.61,few clouds
125,Tongchuan,CN,35.0806,109.0897,36.37,27,57,5.99,broken clouds
126,Bambous Virieux,MU,-20.3428,57.7575,82.22,78,75,14.97,light rain
127,Ngorongoro,TZ,-3.2397,35.4875,55.24,65,58,2.55,broken clouds
128,Port Blair,IN,11.6667,92.75,82.44,54,75,9.22,haze
129,Babu,CN,24.4167,111.5167,51.64,42,100,3.53,overcast clouds
130,Geraldton,AU,-28.7667,114.6,100.81,22,0,13.8,clear sky
131,Shaunavon,CA,49.6501,-108.4181,24.58,97,83,6.82,broken clouds
132,Atlacomulco,MX,19.7989,-99.8744,47.28,64,98,4.12,overcast clouds
133,Zhigansk,RU,66.7697,123.3711,-54.22,96,72,3.91,broken clouds
134,Molina,CL,-35.1167,-71.2833,64.13,59,0,4.61,clear sky
135,Leshukonskoye,RU,64.8989,45.7622,6.69,98,79,5.55,broken clouds
136,Okhotsk,RU,59.3833,143.3,-10.7,96,100,9.08,overcast clouds
137,Ulagan,RU,50.6321,87.9563,12.43,90,97,2.15,overcast clouds
138,Leningradskiy,RU,69.3833,178.4167,-19.8,93,96,11.1,overcast clouds
139,Port Keats,AU,-14.25,129.55,87.04,69,85,11.83,moderate rain
140,Marawi,PH,7.9986,124.2928,76.82,83,95,5.1,overcast clouds
141,Hwange,ZW,-18.3693,26.5019,69.04,89,77,4.21,broken clouds
142,Katsuura,JP,35.1333,140.3,52.48,47,88,7.0,light rain
143,Carnarvon,AU,-24.8667,113.6333,89.46,52,22,16.78,few clouds
144,Srednekolymsk,RU,67.45,153.6833,-39.01,98,100,6.04,overcast clouds
145,Rio Grande,BR,-32.035,-52.0986,72.39,74,12,14.03,few clouds
146,Georgetown,MY,5.4112,100.3354,89.53,62,20,5.75,few clouds
147,Oil City,US,41.4339,-79.7064,43.0,95,100,9.22,overcast clouds
148,Lata,PT,40.1629,-8.3327,44.08,83,100,11.43,overcast clouds
149,Rabat,MA,33.9911,-6.8401,60.15,82,75,5.75,light rain
150,San Mateo Ixtatan,GT,15.8319,-91.4781,46.98,77,38,3.94,scattered clouds
151,Det Udom,TH,14.906,105.0784,78.62,44,51,8.46,broken clouds
152,Sao Miguel Do Iguacu,BR,-25.3481,-54.2378,72.48,86,57,3.83,broken clouds
153,Port-Cartier,CA,50.0334,-66.8654,34.02,93,100,4.34,overcast clouds
154,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,63,100,10.36,overcast clouds
155,Aquin,HT,18.2833,-73.4,71.24,84,16,2.93,few clouds
156,Cuenca,EC,-2.8833,-78.9833,55.53,88,100,0.0,overcast clouds
157,Laishevo,RU,55.4046,49.5504,12.42,95,89,7.56,overcast clouds
158,Bac Lieu,VN,9.285,105.7244,84.13,61,48,4.21,scattered clouds
159,San Ramon,US,37.7799,-121.978,48.36,84,0,3.44,clear sky
160,Am Timan,TD,11.0297,20.2827,68.38,28,100,5.68,overcast clouds
161,Atar,MR,20.5169,-13.0499,65.5,18,91,7.92,overcast clouds
162,Kachug,RU,53.9606,105.8817,0.05,83,95,12.62,overcast clouds
163,Cherskiy,RU,68.75,161.3,-48.1,99,69,4.27,broken clouds
164,Tezu,IN,27.9167,96.1667,69.49,41,2,4.07,clear sky
165,Castro,BR,-24.7911,-50.0119,64.0,98,100,3.06,overcast clouds
166,Swan Hill,AU,-35.3378,143.5544,74.3,58,100,16.33,light rain
167,Kanel,SN,15.4916,-13.1763,74.16,14,73,10.13,broken clouds
168,Waingapu,ID,-9.6567,120.2641,84.72,70,77,6.98,broken clouds
169,Vilyuysk,RU,63.7553,121.6247,-53.01,97,79,1.23,broken clouds
170,Yaan,NG,7.3833,8.5667,72.09,29,27,3.56,scattered clouds
171,Chicama,PE,-7.8447,-79.1469,66.74,72,24,2.46,few clouds
172,San Pedro,PH,14.35,121.0167,83.35,78,75,3.44,broken clouds
173,Conceicao Do Araguaia,BR,-8.2578,-49.2647,70.48,95,99,3.04,overcast clouds
174,Ugoofaaru,MV,5.6667,73.0,80.92,76,32,14.2,scattered clouds
175,Sobolevo,RU,54.4299,31.8996,34.16,100,100,11.61,overcast clouds
176,Morros,BR,-9.4467,-46.3003,71.8,80,100,1.19,overcast clouds
177,Salo,IT,45.6086,10.531,39.33,92,98,3.65,overcast clouds
178,Chapais,CA,49.7834,-74.8492,6.58,96,100,2.48,overcast clouds
179,Fortuna,US,40.5982,-124.1573,46.74,90,40,0.0,scattered clouds
180,Tibu,CO,8.639,-72.7358,70.68,93,29,1.77,scattered clouds
181,Dhidhdhoo,MV,6.8833,73.1,80.49,75,6,13.67,clear sky
182,Aparecida Do Taboado,BR,-20.0867,-51.0936,72.03,85,96,3.98,overcast clouds
183,Ventspils,LV,57.3894,21.5606,33.73,100,0,5.75,clear sky
184,Meulaboh,ID,4.1363,96.1285,82.42,58,100,1.52,overcast clouds
185,Constantine,DZ,36.365,6.6147,51.21,57,20,17.27,few clouds
186,Najran,SA,17.4924,44.1277,59.65,73,8,6.76,clear sky
187,Kruisfontein,ZA,-34.0033,24.7314,71.89,63,99,2.42,overcast clouds
188,Hun,LY,29.1268,15.9477,51.19,33,0,7.67,clear sky
189,Santa Isabel,BR,-23.3156,-46.2214,70.9,99,94,2.08,overcast clouds
190,Umm Lajj,SA,25.0213,37.2685,66.2,37,49,8.97,scattered clouds
191,Pontiac,US,42.6389,-83.2911,39.83,86,100,13.8,overcast clouds
192,Saint-Joseph,RE,-21.3667,55.6167,80.98,79,99,13.91,overcast clouds
193,Paamiut,GL,61.994,-49.6678,19.33,66,100,9.04,overcast clouds
194,Masumbwe,TZ,-3.6333,32.1833,65.05,90,92,1.83,overcast clouds
195,Cabo San Lucas,MX,22.8909,-109.9124,69.51,74,91,6.64,overcast clouds
196,Ambilobe,MG,-13.2,49.05,77.83,81,80,1.54,broken clouds
